Artikelnummer,Beschreibung,Farbe,EAN,VPE,Status
430306,PolyTarp® 210  -  3 x 6 m,grün,4250574100613,7 Stück pro Karton,1
430400,PolyTarp® 210  -  4m rund,grün,4250574102617,11 Stück pro Karton,1
430405,PolyTarp® 210  -  4 x 5 m,grün,4250574100637,6 Stück pro Karton,1
430406,PolyTarp® 210  -  4 x 6 m,grün,4250574100644,5 Stück pro Karton,1
430407,PolyTarp® 210  -  4 x 7 m,grün,4250574100651,4 Stück pro Karton,1
430408,PolyTarp® 210  -  4 x 8 m,grün,4250574100668,4 Stück pro Karton,1
430500,PolyTarp® 210  -  5m rund,grün,4250574102624,7 Stück pro Karton,1
430506,PolyTarp® 210  -  5 x 6 m,grün,4250574100675,4 Stück pro Karton,1
430508,PolyTarp® 210  -  5 x 8 m,grün,4250574100682,3 Stück pro Karton,1
430608,PolyTarp® 210  -  6 x 8 m,grün,4250574100699,2 Stück pro Karton,1
430610,PolyTarp® 210  -  6 x 10 m,grün,4250574100705,2 Stück pro Karton,1
430612,PolyTarp® 210  -  6 x 12 m,grün,4250574100712,1 Stück pro Karton,1
430810,PolyTarp® 210  -  8 x 10 m,grün,4250574100729,1 Stück pro Karton,1
430812,PolyTarp® 210  -  8 x 12 m,grün,4250574100736,1 Stück pro Karton,1
430814,PolyTarp® 210  -  8 x 14 m,grün,4250574100743,1 Stück pro Karton,1
431012,PolyTarp® 210  - 10 x 12 m,grün,4250574100750,1 Stück pro Karton,1
431016,PolyTarp® 210  - 10 x 16 m,grün,4250574100774,1 Stück pro Karton,1
431020,PolyTarp® 210  - 10 x 20 m,grün,4250574100781,1 Stück pro Karton,1
431506,"PolyTarp® 210  - 1,5 x 6 m",grün,4250574101283,14 Stück pro Karton,1
431510,"PolyTarp® 210  - 1,5 x 10 m",grün,4250574100798,8 Stück pro Karton,1
432510,"PolyTarp® 210  - 2,5 x 10 m",grün,4250574100804,5 Stück pro Karton,1
440203,PolyTarp® 280  -  2 x 3 m,weiß,4250574101979,17 Stück pro Karton,1
440304,PolyTarp® 280  -  3 x 4 m,weiß,4250574101986,8 Stück pro Karton,1
440305,PolyTarp® 280  -  3 x 5 m,weiß,4250574101993,6 Stück pro Karton,1
440306,PolyTarp® 280  -  3 x 6 m,weiß,4250574102006,5 Stück pro Karton,1
440405,PolyTarp® 280  -  4 x 5 m,weiß,4250574102013,5 Stück pro Karton,1
440406,PolyTarp® 280  -  4 x 6 m,weiß,4250574102020,4 Stück pro Karton,1
440407,PolyTarp® 280  -  4 x 7 m,weiß,4250574102860,3 Stück pro Karton,1
440408,PolyTarp® 280  -  4 x 8 m,weiß,4250574102037,3 Stück pro Karton,1
440506,PolyTarp® 280  -  5 x 6 m,weiß,4250574102044,3 Stück pro Karton,1
440507,PolyTarp® 280  -  5 x 7 m,weiß,4250574102051,2 Stück pro Karton,1
440508,PolyTarp® 280  -  5 x 8 m,weiß,4250574102068,2 Stück pro Karton,1
440608,PolyTarp® 280  -  6 x 8 m,weiß,4250574102075,2 Stück pro Karton,1
440610,PolyTarp® 280  -  6 x 10 m,weiß,4250574102082,1 Stück pro Karton,1
440810,PolyTarp® 280  -  8 x 10 m,weiß,4250574102105,1 Stück pro Karton,1
440812,PolyTarp® 280  -  8 x 12 m,weiß,4250574102112,1 Stück pro Karton,1
440814,PolyTarp® 280  -  8 x 14 m,weiß,4250574102181,1 Stück pro Karton,1
441010,PolyTarp® 280  - 10 x 10 m,weiß,4250574102129,1 Stück pro Karton,3
441012,PolyTarp® 280  - 10 x 12 m,weiß,4250574102136,1 Stück pro Karton,1
441015,PolyTarp® 280  - 10 x 15 m,weiß,4250574102921,1 Stück pro Karton,1
450203,PolyTarp® 200  - 2 x 3 m,transluzent,4250574100842,25 Stück pro Karton,1
450304,PolyTarp® 200  - 3 x 4 m,transluzent,4250574100859,12 Stück pro Karton,1
450305,PolyTarp® 200  - 3 x 5 m,transluzent,4250574100866,8 Stück pro Karton,2
450306,PolyTarp® 200  - 3 x 6 m,transluzent,4250574100873,8 Stück pro Karton,1
450405,PolyTarp® 200  - 4 x 5 m,transluzent,4250574100897,6 Stück pro Karton,1
450406,PolyTarp® 200  - 4 x 6 m,transluzent,4250574100903,6 Stück pro Karton,1
450407,PolyTarp® 200  - 4 x 7 m,transluzent,4250574100910,5 Stück pro Karton,1
450408,PolyTarp® 200  - 4 x 8 m,transluzent,4250574100927,4 Stück pro Karton,1
450506,PolyTarp® 200  - 5 x 6 m,transluzent,4250574100934,4 Stück pro Karton,1
450508,PolyTarp® 200  - 5 x 8 m,transluzent,4250574100958,3 Stück pro Karton,1
450608,PolyTarp® 200  - 6 x 8 m,transluzent,4250574100972,3 Stück pro Karton,1
450610,PolyTarp® 200  - 6 x 10 m,transluzent,4250574100989,2 Stück pro Karton,1
450612,PolyTarp® 200  - 6 x 12 m,transluzent,4250574100996,2 Stück pro Karton,1
450810,PolyTarp® 200  - 8 x 10 m,transluzent,4250574101009,2 Stück pro Karton,1
450812,PolyTarp® 200  - 8 x 12 m,transluzent,4250574101016,1 Stück pro Karton,1
451012,PolyTarp® 200  - 10 x 12 m,transluzent,4250574101030,1 Stück pro Karton,1
451016,PolyTarp® 200  - 10 x 16 m,transluzent,4250574101047,1 Stück pro Karton,1
460203,PolyTarp® 650  - 2 x 3 m,grau,4250574103294,7 Stück pro Ballen,1
460250,PolyTarp® 650  - 2 x 50 m,grau,4250574103522,Unknown,3
460304,PolyTarp® 650  - 3 x 4 m,grau,4250574103300,3 Stück pro Ballen,1
460305,PolyTarp® 650  - 3 x 5 m,grau,4250574103317,3 Stück pro Ballen,1
460306,PolyTarp® 650  - 3 x 6 m,grau,4250574103324,2 Stück pro Ballen,1
460405,PolyTarp® 650  - 4 x 5 m,grau,4250574103331,2 Stück pro Ballen,1
460406,PolyTarp® 650  - 4 x 6 m,grau,4250574103348,1 Stück pro Ballen,1
460407,PolyTarp® 650  - 4 x 7 m,grau,4250574104109,1 Stück pro Ballen,1
460408,PolyTarp® 650  - 4 x 8 m,grau,4250574103355,1 Stück pro Ballen,1
460506,PolyTarp® 650  - 5 x 6 m,grau,4250574103362,1 Stück pro Ballen,1
